"","Cluster","time_point","genotype","treatment","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","D1.303.infected","D1","303","infected","GO:0009408","response to heat","37/326","411/26205",4.78256632623576e-21,2.23412583851113e-18,1.90972309450933e-18,"TF131450_c0_g1_i1/TF150529_c0_g1_i1/TF162071_c2_g1_i1/TF167263_c0_g2_i9/TF181145_c1_g1_i3/TF188744_c0_g2_i3/TF194792_c0_g1_i1/TF240471_c0_g1_i1/TF247108_c0_g1_i1/TF283953_c0_g1_i4/TF310865_c0_g1_i2/TF31272_c0_g1_i3/TF317341_c0_g1_i4/TF322458_c1_g2_i1/TF325029_c1_g1_i4/TF336387_c0_g2_i1/TF336387_c0_g3_i1/TF395657_c1_g2_i1/TF414373_c1_g1_i1/TF415678_c0_g2_i2/TF52576_c2_g2_i3/TF66461_c4_g3_i2/TF75984_c0_g3_i5/TF92658_c0_g1_i12/TF102884_c0_g1_i1/TF155888_c0_g1_i4/TF167263_c0_g2_i10/TF194792_c0_g1_i4/TF226965_c0_g1_i2/TF260012_c0_g1_i14/TF260012_c0_g1_i11/TF31272_c0_g1_i10/TF325029_c1_g1_i9/TF393249_c1_g1_i2/TF393249_c1_g1_i4/TF75984_c0_g1_i5/TF92658_c0_g1_i4",37
"2","D1.303.infected","D1","303","infected","GO:0009644","response to high light intensity","36/326","391/26205",7.9224320514579e-21,2.23412583851113e-18,1.90972309450933e-18,"TF131450_c0_g1_i1/TF150529_c0_g1_i1/TF167263_c0_g2_i9/TF188744_c0_g2_i3/TF194792_c0_g1_i1/TF240471_c0_g1_i1/TF247108_c0_g1_i1/TF252754_c0_g1_i8/TF283953_c0_g1_i4/TF310865_c0_g1_i2/TF31272_c0_g1_i3/TF317341_c0_g1_i4/TF325029_c1_g1_i4/TF326436_c0_g1_i1/TF335263_c6_g1_i1/TF336387_c0_g2_i1/TF336387_c0_g3_i1/TF348980_c4_g3_i1/TF395657_c1_g2_i1/TF414373_c1_g1_i1/TF59739_c1_g1_i1/TF66461_c4_g3_i2/TF92658_c0_g1_i12/TF155888_c0_g1_i4/TF167263_c0_g2_i10/TF194792_c0_g1_i4/TF226965_c0_g1_i2/TF260012_c0_g1_i14/TF260012_c0_g1_i11/TF31272_c0_g1_i10/TF325029_c1_g1_i9/TF375368_c0_g1_i6/TF393249_c1_g1_i2/TF393249_c1_g1_i4/TF75984_c0_g1_i5/TF92658_c0_g1_i4",36
"3","D1.303.infected","D1","303","infected","GO:0042542","response to hydrogen peroxide","31/326","370/26205",6.64152513972735e-17,1.24860672626874e-14,1.06730474175268e-14,"TF131450_c0_g1_i1/TF150529_c0_g1_i1/TF167263_c0_g2_i9/TF188744_c0_g2_i3/TF194792_c0_g1_i1/TF240471_c0_g1_i1/TF247108_c0_g1_i1/TF283953_c0_g1_i4/TF310865_c0_g1_i2/TF31272_c0_g1_i3/TF317341_c0_g1_i4/TF325029_c1_g1_i4/TF326436_c0_g1_i1/TF336387_c0_g2_i1/TF336387_c0_g3_i1/TF395657_c1_g2_i1/TF414373_c1_g1_i1/TF66461_c4_g3_i2/TF92658_c0_g1_i12/TF155888_c0_g1_i4/TF167263_c0_g2_i10/TF194792_c0_g1_i4/TF226965_c0_g1_i2/TF260012_c0_g1_i14/TF260012_c0_g1_i11/TF31272_c0_g1_i10/TF325029_c1_g1_i9/TF393249_c1_g1_i2/TF393249_c1_g1_i4/TF75984_c0_g1_i5/TF92658_c0_g1_i4",31
"4","D1.303.infected","D1","303","infected","GO:0034976","response to endoplasmic reticulum stress","20/326","345/26205",1.53560681335714e-08,2.16520560683357e-06,1.8508103171515e-06,"TF131450_c0_g1_i1/TF150529_c0_g1_i1/TF188744_c0_g2_i3/TF240471_c0_g1_i1/TF247108_c0_g1_i1/TF247770_c0_g1_i6/TF283953_c0_g1_i4/TF310865_c0_g1_i2/TF317341_c0_g1_i4/TF336387_c0_g2_i1/TF395657_c1_g2_i1/TF66461_c4_g3_i2/TF92658_c0_g1_i12/TF155888_c0_g1_i4/TF167263_c0_g2_i10/TF226965_c0_g1_i2/TF237406_c0_g1_i3/TF247770_c0_g1_i2/TF31272_c0_g1_i10/TF75984_c0_g1_i5",20
"5","D1.303.infected","D1","303","infected","GO:0001510","RNA methylation","15/326","224/26205",1.57232478564443e-07,1.77358235820691e-05,1.51605210910557e-05,"TF147821_c0_g1_i5/TF148886_c0_g1_i3/TF155948_c0_g2_i2/TF169325_c0_g1_i2/TF247770_c0_g1_i6/TF265663_c0_g2_i2/TF32720_c0_g1_i1/TF351677_c1_g1_i4/TF368765_c2_g1_i1/TF385319_c0_g1_i1/TF389239_c0_g1_i1/TF150608_c0_g1_i2/TF247770_c0_g1_i2/TF304774_c0_g1_i4/TF368765_c2_g1_i3",15
"6","D1.303.infected","D1","303","infected","GO:0051087","chaperone binding","4/326","6/26205",3.45877439401005e-07,3.25124793036945e-05,2.77915556571334e-05,"TF181145_c1_g1_i3/TF310865_c0_g1_i2/TF317341_c0_g1_i4/TF155888_c0_g1_i4",4
"7","D1.303.infected","D1","303","infected","GO:0010286","heat acclimation","11/326","127/26205",5.75865274075589e-07,4.63982877969474e-05,3.96610970716721e-05,"TF167263_c0_g2_i9/TF298391_c1_g1_i3/TF325029_c1_g1_i4/TF414373_c1_g1_i1/TF66461_c4_g3_i2/TF226965_c0_g1_i2/TF260012_c0_g1_i14/TF260012_c0_g1_i11/TF325029_c1_g1_i9/TF393249_c1_g1_i2/TF393249_c1_g1_i4",11
"8","D1.303.infected","D1","303","infected","GO:0005507","copper ion binding","14/326","237/26205",1.82769645861382e-06,0.000128852600332274,0.000110142760269096,"TF150529_c0_g1_i1/TF152526_c0_g3_i1/TF18564_c0_g1_i7/TF188744_c0_g2_i3/TF265374_c0_g1_i7/TF296187_c0_g1_i4/TF310865_c0_g1_i2/TF317341_c0_g1_i4/TF374756_c0_g1_i4/TF79365_c1_g2_i2/TF155888_c0_g1_i4/TF237406_c0_g1_i3/TF265374_c0_g1_i4/TF310865_c0_g1_i6",14
"9","D1.303.infected","D1","303","infected","GO:0006626","protein targeting to mitochondrion","10/326","150/26205",1.94600553594632e-05,0.00121949680252636,0.00104242167890458,"TF150529_c0_g1_i1/TF172318_c0_g1_i2/TF188744_c0_g2_i3/TF247770_c0_g1_i6/TF368765_c2_g1_i1/TF377023_c0_g1_i7/TF53626_c0_g1_i1/TF247770_c0_g1_i2/TF302992_c0_g1_i2/TF368765_c2_g1_i3",10
"10","D1.303.infected","D1","303","infected","GO:0007005","mitochondrion organization","4/326","15/26205",2.8802784295392e-05,0.00162447703426011,0.001388597390241,"TF150529_c0_g1_i1/TF188744_c0_g2_i3/TF247770_c0_g1_i6/TF247770_c0_g1_i2",4
